Date_Posted,Year,Month,City,Country,Work_Type,Gender_Preference,Job_Title,Specialization,Job_Portal,Company,Company_Size,Company_Sector,Minimum_Experience (years),Maximum_Experience (years),Position_level,Qualifications,Minimum Salary,Maximum Salary,Avg_Salary
2022-02-01,2022,2,Canberra,Australia,Temporary,Both,Systems Administrator,Database Administrator,Stack Overflow Jobs,Kraft Heinz,500 or above,Food and Beverage,5,12,Senior,B.Com,64000,84000,74000
2024-09-06,2024,9,Brussels,Belgium,Temporary,Female,Project Coordinator,Project Manager,The Muse,BT Group,500 or above,Telecommunications,3,11,Senior,BBA,65000,106000,85500
2024-09-01,2024,9,Ottawa,Canada,Part-Time,Female,Account Executive,Key Account Executive,Stack Overflow Jobs,Rite Aid,500 or above,Retail,3,13,Senior,BCA,63000,81000,72000
2022-01-07,2022,1,Beijing,China,Temporary,Female,Process Engineer,Industrial Engineer,Idealist,Victrex,500 or above,Chemicals,3,13,Senior,BBA,58000,82000,70000
2023-03-06,2023,3,Tokyo,Japan,Temporary,Male,Environmental Consultant,Environmental Compliance Officer,The Muse,Cairn Energy,51-500,Energy,1,15,Senior,MCA,61000,86000,73500
2023-06-03,2023,6,Paris,France,Part-Time,Both,Family Lawyer,Child Custody Lawyer,Jobs2Careers,Fortescue Metals Group,500 or above,Mining and Metals,3,12,Senior,M.Com,61000,108000,84500
2022-09-05,2022,9,Tokyo,Japan,Full-Time,Both,Systems Administrator,Database Administrator,Stack Overflow Jobs,Siemens AG,500 or above,Technology and Engineering,2,10,Senior,BBA,55000,119000,87000
2025-02-07,2025,2,Ottawa,Canada,Part-Time,Both,Graphic Designer,UI/UX Designer,CareerBuilder,Workspace Group,51-500,Real Estate,2,11,Senior,BCA,60000,88000,74000
2022-02-12,2022,2,City of Port Louis,Mauritius,Temporary,Female,QA Analyst,Automation Test Engineer,Idealist,Valero Energy,500 or above,Energy,1,12,Senior,MBA,59000,101000,80000
2023-02-12,2023,2,Paris,France,Part-Time,Female,Sales Consultant,B2B Sales Consultant,LinkedIn,Lloyds Banking Group,500 or above,Financial Services,2,9,Senior,M.Tech,64000,130000,97000
2023-09-06,2023,9,Canberra,Australia,Intern,Male,Urban Planner,City Planner,Monster,Whitbread plc,500 or above,Hospitality,2,14,Senior,PhD,63000,110000,86500
2023-09-08,2023,9,London,UK,Full-Time,Both,SEO Specialist,Content SEO Strategist,USAJOBS,Fresenius SE & Co. KGaA,500 or above,Healthcare,2,10,Senior,B.Com,63000,85000,74000
2023-07-07,2023,7,Hanoi,Vietnam,Contract,Male,Sales Manager,Regional Sales Director,SimplyHired,Toll Brothers,500 or above,Home Construction,1,13,Senior,PhD,63000,90000,76500
2023-03-09,2023,3,Singapore,Singapore,Part-Time,Male,Wedding Planner,Wedding Designer,Dice,Microsoft,500 or above,Technology,1,14,Senior,MCA,55000,126000,90500
2022-12-02,2022,12,Lisbon,Portugal,Full-Time,Female,Tax Consultant,International Tax Consultant,SimplyHired,Jabil,500 or above,Manufacturing,2,11,Senior,M.Tech,62000,117000,89500
2023-04-01,2023,4,Beijing,China,Temporary,Male,Tax Consultant,Personal Tax Consultant,Dice,Bharat Electronics Limited,500 or above,Electronics,4,8,Senior,PhD,56000,111000,83500
2023-02-09,2023,2,Canberra,Australia,Full-Time,Female,Web Developer,Frontend Web Developer,Stack Overflow Jobs,Micron Technology,500 or above,Technology,1,9,Senior,B.Com,64000,92000,78000
2023-01-06,2023,1,City of Port Louis,Mauritius,Temporary,Male,Chemical Analyst,Quality Control Analyst,CareerBuilder,Unum Group,500 or above,Insurance,5,8,Senior,BCA,56000,124000,90000
2024-02-12,2024,2,City of Port Louis,Mauritius,Temporary,Both,Front-End Developer,Accessibility Developer,Dice,AT&T,500 or above,Telecommunications,3,14,Senior,PhD,60000,86000,73000
2024-06-04,2024,6,Singapore,Singapore,Full-Time,Male,Legal Advisor,Corporate Counsel,LinkedIn,Great Wall Motors,500 or above,Automotive,1,11,Senior,MBA,65000,98000,81500
2023-07-04,2023,7,Madrid,Spain,Intern,Both,Electrical Designer,Lighting Designer,Dice,Commonwealth Bank of Australia,500 or above,Banking,1,8,Senior,M.Tech,57000,120000,88500
2024-06-03,2024,6,Canberra,Australia,Temporary,Both,Family Lawyer,Child Custody Lawyer,Internships.com,Airbnb,500 or above,Technology,3,13,Senior,MBA,65000,81000,73000
2024-12-06,2024,12,City of Port Louis,Mauritius,Contract,Female,Registered Nurse,Charge Nurse,SimplyHired,Honeywell International,500 or above,Conglomerate,2,9,Senior,BCA,55000,124000,89500
2024-01-04,2024,1,Madrid,Spain,Contract,Female,Copywriter,SEO Copywriter,The Muse,Muthoot Finance,500 or above,Financial Services,1,8,Senior,B.Tech,65000,111000,88000
2024-05-03,2024,5,New Delhi,India,Temporary,Male,Customer Support Specialist,Help Desk Analyst,LinkedIn,Reliance Industries Limited,500 or above,Conglomerate,5,12,Senior,PhD,56000,121000,88500
2024-02-06,2024,2,"Washington, D.C.",USA,Full-Time,Male,Network Administrator,Network Engineer,Internships.com,Oshkosh,500 or above,Manufacturing,3,9,Senior,BA,57000,85000,71000
2025-01-05,2025,1,London,UK,Contract,Male,Legal Counsel,Employment Lawyer,USAJOBS,JetBlue Airways,500 or above,Airlines,1,9,Senior,BA,64000,108000,86000
2023-04-03,2023,4,Canberra,Australia,Intern,Male,Network Security Specialist,Security Operations Center (SOC) Analyst,Monster,Consolidated Edison,500 or above,Utilities,4,9,Senior,BBA,65000,110000,87500
2023-01-11,2023,1,Tokyo,Japan,Contract,Male,Landscape Architect,Urban Planner,Idealist,SAP SE,500 or above,Technology and Software,1,12,Senior,B.Tech,65000,98000,81500
2023-02-08,2023,2,Brussels,Belgium,Part-Time,Female,SEO Analyst,Technical SEO Analyst,LinkedIn,Coca-Cola,500 or above,Beverage,4,8,Senior,BCA,59000,88000,73500
2025-04-02,2025,4,Madrid,Spain,Full-Time,Male,HR Manager,Employee Development Manager,LinkedIn,"Harley-Davidson, Inc.",500 or above,Automotive/Motorcycles,3,14,Senior,B.Tech,55000,80000,67500
2023-12-12,2023,12,Canberra,Australia,Full-Time,Both,Mechanical Engineer,Manufacturing Engineer,Stack Overflow Jobs,Bharti Airtel,500 or above,Telecommunications,5,11,Senior,MBA,65000,101000,83000
2023-02-10,2023,2,Canberra,Australia,Intern,Both,SEO Analyst,Technical SEO Analyst,USAJOBS,Sirius XM Holdings Inc.,500 or above,Telecommunications/Radio,4,9,Senior,BBA,64000,129000,96500
2023-05-10,2023,5,Brussels,Belgium,Intern,Both,Nurse Practitioner,Family Nurse Practitioner,Stack Overflow Jobs,Coal India Limited,500 or above,Mining,0,10,Senior,MBA,65000,81000,73000
2022-10-12,2022,10,Lisbon,Portugal,Full-Time,Female,Sales Manager,Sales Team Leader,Snagajob,Intuit,500 or above,Financial Technology,4,10,Senior,B.Com,56000,90000,73000
2024-02-06,2024,2,City of Port Louis,Mauritius,Part-Time,Both,Art Teacher,Fine Arts Instructor,FlexJobs,Analog Devices,500 or above,Semiconductors,2,12,Senior,M.Com,55000,112000,83500
2022-06-12,2022,6,Lisbon,Portugal,Full-Time,Female,Account Manager,Sales Account Manager,Jobs2Careers,Axis Bank,500 or above,Banking,1,12,Senior,M.Tech,64000,81000,72500
2023-05-02,2023,5,Madrid,Spain,Intern,Male,Aerospace Engineer,Aircraft Design Engineer,Snagajob,KeyCorp,500 or above,Financial Services,0,15,Senior,M.Tech,59000,123000,91000
2024-03-12,2024,3,Bangkok,Thailand,Full-Time,Female,Physician Assistant,Emergency Medicine Physician Assistant,Monster,PG&E,500 or above,Utilities,1,12,Senior,BA,56000,90000,73000
2023-06-11,2023,6,New Delhi,India,Intern,Both,UX/UI Designer,User Experience Designer,CareerBuilder,Santos Limited,500 or above,Energy/Oil and Gas,5,13,Senior,BBA,57000,82000,69500
2024-06-12,2024,6,New Delhi,India,Intern,Male,Investment Analyst,Portfolio Manager,Snagajob,Union Pacific,500 or above,Transportation,2,10,Senior,MCA,62000,125000,93500
2021-12-10,2021,12,Hanoi,Vietnam,Intern,Male,Market Research Analyst,Market Research Coordinator,Glassdoor,PayPal Holdings,500 or above,Financial Services,0,11,Senior,M.Tech,60000,92000,76000
2023-03-10,2023,3,Hanoi,Vietnam,Temporary,Both,Graphic Designer,Web Graphic Designer,FlexJobs,Havells India,500 or above,Electrical Equipment,4,15,Senior,BA,60000,89000,74500
2024-05-12,2024,5,Brussels,Belgium,Full-Time,Both,Registered Nurse,Clinical Nurse Specialist,Glassdoor,Wayfair,500 or above,Retail,3,11,Senior,BBA,62000,99000,80500
2024-01-01,2024,1,Paris,France,Temporary,Female,Litigation Attorney,Family Law Attorney,FlexJobs,Berkeley Group Holdings,500 or above,Real Estate,0,15,Senior,MBA,62000,104000,83000
2022-10-02,2022,10,Berlin,Germany,Intern,Both,UX/UI Designer,User Interface Designer,The Muse,Arconic,500 or above,Manufacturing,4,14,Senior,PhD,56000,105000,80500
2023-04-09,2023,4,Berlin,Germany,Intern,Female,Account Executive,Key Account Executive,Stack Overflow Jobs,Dollar Tree,500 or above,Retail,0,12,Senior,M.Tech,64000,93000,78500
2023-02-11,2023,2,Brussels,Belgium,Temporary,Both,Administrative Assistant,Executive Assistant,SimplyHired,Rank Group,500 or above,Gambling,3,13,Senior,BCA,61000,122000,91500
2023-01-05,2023,1,New Delhi,India,Contract,Male,Social Media Manager,Social Media Analyst,Snagajob,Deutsche Telekom AG,500 or above,Telecommunications,3,15,Senior,MBA,61000,88000,74500
2023-11-06,2023,11,Singapore,Singapore,Part-Time,Female,Data Analyst,Data Scientist,The Muse,London Stock Exchange Group,500 or above,Financial Services,3,11,Senior,B.Tech,55000,91000,73000
2023-05-11,2023,5,Beijing,China,Intern,Male,Office Manager,Facilities Manager,Monster,Berger Paints India Limited,500 or above,Paints & Coatings,1,10,Senior,PhD,60000,109000,84500
2023-10-08,2023,10,Brussels,Belgium,Contract,Female,Family Lawyer,Mediator,Idealist,EnLink Midstream,500 or above,Energy,5,14,Senior,M.Com,61000,87000,74000
2023-12-01,2023,12,Beijing,China,Full-Time,Male,Purchasing Agent,Supply Chain Coordinator,The Muse,LPL Financial Holdings,500 or above,Financial Services,0,14,Senior,M.Tech,61000,100000,80500
2024-03-04,2024,3,Paris,France,Part-Time,Male,Legal Assistant,Paralegal,Jobs2Careers,Britannia Industries,500 or above,Food & Beverages,5,8,Senior,MCA,59000,95000,77000
2022-10-07,2022,10,New Delhi,India,Temporary,Female,Brand Manager,Brand Marketing Analyst,FlexJobs,Broadcom,500 or above,Technology,1,10,Senior,MCA,62000,83000,72500
2023-06-03,2023,6,Beijing,China,Temporary,Female,Software Engineer,Frontend Developer,Idealist,StoneX Group,500 or above,Financial Services,4,10,Senior,M.Tech,63000,90000,76500
2025-06-06,2025,6,Madrid,Spain,Full-Time,Male,Litigation Attorney,Trial Attorney,CareerBuilder,Morrison Supermarkets,500 or above,Retail,3,13,Senior,MCA,63000,94000,78500
2024-08-05,2024,8,Canberra,Australia,Part-Time,Male,Network Administrator,Systems Administrator,The Muse,Conagra Brands,500 or above,Food,5,12,Senior,MBA,63000,90000,76500
2023-04-10,2023,4,Lisbon,Portugal,Part-Time,Both,Network Engineer,Network Administrator,FlexJobs,Transurban Group,500 or above,Transportation/Infrastructure,2,10,Senior,MBA,56000,103000,79500
2024-04-09,2024,4,New Delhi,India,Full-Time,Female,Data Engineer,Data Architect,Indeed,Mohawk Industries,500 or above,Flooring,5,14,Senior,BBA,57000,125000,91000
2023-12-02,2023,12,Ottawa,Canada,Temporary,Both,HR Coordinator,Training Coordinator,Idealist,Reliance Industries Limited,500 or above,Conglomerate,0,10,Senior,M.Com,60000,112000,86000
2024-06-07,2024,6,Beijing,China,Intern,Female,Nurse Practitioner,Primary Care Nurse Practitioner,The Muse,Balfour Beatty,500 or above,Construction and Engineering,5,12,Senior,M.Com,59000,122000,90500
2022-08-10,2022,8,"Washington, D.C.",USA,Temporary,Female,Investment Analyst,Portfolio Manager,Snagajob,American Express,500 or above,Financial Services,1,15,Senior,MBA,63000,130000,96500
2023-12-10,2023,12,Lisbon,Portugal,Part-Time,Female,Sales Manager,Regional Sales Director,Snagajob,Regeneron Pharmaceuticals,500 or above,Pharmaceuticals,3,13,Senior,BA,57000,103000,80000
2022-07-10,2022,7,Canberra,Australia,Temporary,Female,Procurement Specialist,Procurement Coordinator,Dice,AT&T,500 or above,Telecommunications,0,9,Senior,B.Com,61000,109000,85000
2024-06-07,2024,6,City of Port Louis,Mauritius,Temporary,Both,Financial Planner,Tax Planner,The Muse,PG&E,500 or above,Utilities,1,8,Senior,MCA,61000,86000,73500
2025-01-07,2025,1,Canberra,Australia,Contract,Male,Marketing Coordinator,Event Marketing Coordinator,SimplyHired,Kingfisher plc,500 or above,Retail,1,14,Senior,B.Com,59000,95000,77000
2022-03-09,2022,3,Canberra,Australia,Intern,Female,Network Engineer,Network Administrator,Dice,Stanley Black & Decker,500 or above,Tools & Equipment,5,12,Senior,M.Com,63000,120000,91500
2024-04-08,2024,4,Bangkok,Thailand,Full-Time,Male,Procurement Manager,Strategic Sourcing Manager,Glassdoor,Cardinal Health,500 or above,Healthcare,2,12,Senior,MBA,58000,90000,74000
2022-07-12,2022,7,Madrid,Spain,Temporary,Male,Pediatrician,Pediatric Surgeon,Internships.com,Owens Corning,500 or above,Building Materials,4,14,Senior,MCA,55000,109000,82000
2022-08-10,2022,8,Bangkok,Thailand,Temporary,Both,Dental Hygienist,Periodontal Therapist,Jobs2Careers,Fresenius Medical Care AG & Co. KGaA,500 or above,Healthcare,3,10,Senior,BA,60000,125000,92500
2023-10-01,2023,10,Paris,France,Intern,Female,Purchasing Agent,Inventory Manager,Jobs2Careers,Kotak Mahindra Bank,500 or above,Banking,0,11,Senior,B.Tech,61000,104000,82500
2023-08-03,2023,8,New Delhi,India,Part-Time,Both,Dental Hygienist,Dental Hygiene Educator,SimplyHired,Masco,500 or above,Manufacturing,1,12,Senior,BCA,63000,104000,83500
2023-06-05,2023,6,Canberra,Australia,Contract,Male,Procurement Manager,Supplier Diversity Manager,Dice,St. James's Place plc,500 or above,Financial Services,3,11,Senior,M.Tech,55000,82000,68500
2023-03-01,2023,3,Madrid,Spain,Intern,Female,Environmental Consultant,Sustainability Consultant,The Muse,Dominion Energy,500 or above,Energy,5,11,Senior,BA,57000,103000,80000
2022-02-01,2022,2,Paris,France,Temporary,Female,Electrical Designer,Electrical Engineer,Stack Overflow Jobs,New York Life Insurance,500 or above,Insurance,0,8,Senior,M.Com,57000,93000,75000
2023-08-09,2023,8,Hanoi,Vietnam,Contract,Male,Front-End Engineer,JavaScript Developer,Indeed,Nucor,500 or above,Metals and Mining,0,14,Senior,M.Tech,65000,108000,86500
2024-10-07,2024,10,City of Port Louis,Mauritius,Full-Time,Male,Sales Representative,Inside Sales Representative,FlexJobs,Motorola Solutions,500 or above,Communication Equipment,1,11,Senior,B.Com,65000,107000,86000
2021-07-12,2021,7,Berlin,Germany,Intern,Male,Front-End Engineer,UI/UX Front-End Developer,Dice,Amphenol,500 or above,Electronics,4,11,Senior,B.Com,62000,121000,91500
2023-06-07,2023,6,Tokyo,Japan,Intern,Male,Software Engineer,DevOps Engineer,Monster,NTPC Limited,500 or above,Utilities,0,11,Senior,BA,60000,83000,71500
2024-08-07,2024,8,Canberra,Australia,Part-Time,Male,Chemical Analyst,Quality Control Analyst,FlexJobs,Britannia Industries,500 or above,Food & Beverages,1,15,Senior,MCA,59000,91000,75000
2023-04-02,2023,4,Hanoi,Vietnam,Intern,Male,Data Engineer,Big Data Engineer,SimplyHired,AutoNation,500 or above,Automotive,5,14,Senior,MCA,57000,97000,77000
2024-03-03,2024,3,Berlin,Germany,Temporary,Male,Software Engineer,Backend Developer,FlexJobs,China Unicom,500 or above,Telecommunications,2,9,Senior,B.Tech,62000,93000,77500
2022-09-09,2022,9,Berlin,Germany,Part-Time,Both,Systems Engineer,Cloud Systems Engineer,ZipRecruiter,Lowe's,500 or above,Retail,5,13,Senior,MBA,62000,114000,88000
2024-01-08,2024,1,Ottawa,Canada,Temporary,Male,Data Analyst,Data Quality Analyst,Glassdoor,B&M,500 or above,Retail,5,9,Senior,BA,62000,104000,83000
2025-04-05,2025,4,London,UK,Temporary,Both,Landscape Architect,Residential Landscape Designer,USAJOBS,Eastman Chemical,500 or above,Chemicals,0,15,Senior,B.Tech,64000,120000,92000
2023-04-12,2023,4,Canberra,Australia,Contract,Both,QA Analyst,Software QA Tester,Idealist,Ferguson plc,500 or above,Construction and Engineering,2,11,Senior,PhD,61000,112000,86500
2023-05-06,2023,5,Singapore,Singapore,Full-Time,Male,Executive Assistant,Office Manager,FlexJobs,Lennar,500 or above,Construction,3,13,Senior,M.Com,63000,100000,81500
2023-05-11,2023,5,Bangkok,Thailand,Temporary,Female,Business Development Manager,Market Expansion Manager,Stack Overflow Jobs,Oshkosh,500 or above,Manufacturing,0,11,Senior,M.Com,58000,99000,78500
2023-05-12,2023,5,Canberra,Australia,Intern,Female,Front-End Developer,Accessibility Developer,USAJOBS,Indian Oil Corporation,500 or above,Oil & Gas,0,13,Senior,MBA,65000,88000,76500
2024-01-01,2024,1,London,UK,Full-Time,Male,Front-End Developer,UI/UX Developer,Idealist,Emerson Electric,500 or above,Manufacturing,0,9,Senior,PhD,58000,113000,85500
2024-11-01,2024,11,City of Port Louis,Mauritius,Contract,Both,Public Relations Specialist,Crisis Communication Manager,CareerBuilder,PepsiCo,500 or above,Food and Beverage,0,9,Senior,BA,61000,115000,88000
2023-02-01,2023,2,"Washington, D.C.",USA,Part-Time,Male,Research Analyst,Data Analyst Researcher,Glassdoor,Suning.com,500 or above,E-commerce,3,10,Senior,MBA,55000,115000,85000
2024-07-03,2024,7,Beijing,China,Full-Time,Both,Family Nurse Practitioner,Primary Care Provider,USAJOBS,Lithia Motors,500 or above,Automotive,0,8,Senior,B.Com,55000,124000,89500
2024-04-10,2024,4,Hanoi,Vietnam,Full-Time,Female,Purchasing Agent,Inventory Manager,The Muse,Halma,500 or above,Technology and Safety,1,8,Senior,BCA,65000,117000,91000
2022-02-11,2022,2,London,UK,Temporary,Both,Network Administrator,Systems Administrator,Snagajob,Newell Brands,500 or above,Consumer Goods,3,12,Senior,B.Tech,65000,91000,78000
2023-01-06,2023,1,Bangkok,Thailand,Temporary,Both,Graphic Designer,UI/UX Designer,Snagajob,HCL Technologies,500 or above,Information Technology,0,9,Senior,MBA,60000,81000,70500
2023-09-11,2023,9,Beijing,China,Intern,Male,Digital Marketing Specialist,Social Media Manager,SimplyHired,HDFC Bank,500 or above,Banking,4,11,Senior,BCA,59000,86000,72500
2025-06-05,2025,6,London,UK,Temporary,Female,Software Architect,Enterprise Architect,SimplyHired,Cisco Systems,500 or above,Technology,0,8,Senior,PhD,59000,102000,80500
2024-04-04,2024,4,Berlin,Germany,Intern,Female,Structural Engineer,Construction Engineer,FlexJobs,Jones Financial (Edward Jones),500 or above,Financial Services,4,14,Senior,BCA,63000,106000,84500
2022-06-11,2022,6,Bangkok,Thailand,Intern,Both,Investment Banker,Financial Analyst,Dice,Qantas Airways,500 or above,Transportation/Airlines,2,13,Senior,MBA,57000,92000,74500
2023-04-03,2023,4,Lisbon,Portugal,Contract,Male,Supply Chain Manager,Demand Planner,ZipRecruiter,Norwegian Cruise Line Holdings Ltd.,500 or above,Travel/Cruise Lines,3,14,Senior,B.Tech,58000,117000,87500
2023-09-06,2023,9,Hanoi,Vietnam,Intern,Both,Procurement Manager,Procurement Analyst,USAJOBS,Raymond James Financial,500 or above,Financial Services,3,14,Senior,BBA,56000,87000,71500
2024-07-06,2024,7,Canberra,Australia,Full-Time,Male,Mechanical Engineer,Mechanical Design Engineer,FlexJobs,EMCOR Group,500 or above,Construction,5,13,Senior,BBA,55000,114000,84500
2023-05-11,2023,5,Bangkok,Thailand,Part-Time,Male,Business Analyst,IT Business Analyst,Idealist,Universal Health Services,500 or above,Healthcare Services,3,15,Senior,PhD,58000,111000,84500
2022-04-05,2022,4,Ottawa,Canada,Contract,Male,Project Coordinator,Administrative Coordinator,Idealist,Truist Financial,500 or above,Financial Services,5,11,Senior,M.Com,60000,95000,77500
2023-01-11,2023,1,Canberra,Australia,Part-Time,Female,Network Administrator,Systems Administrator,Jobs2Careers,Huawei Technologies,500 or above,Technology and Networking,5,11,Senior,BCA,60000,114000,87000
2022-04-06,2022,4,Brussels,Belgium,Intern,Both,HR Manager,Human Resources Director,Indeed,Weyerhaeuser,500 or above,Timber & Paper,4,14,Senior,M.Com,64000,96000,80000
2023-01-06,2023,1,Berlin,Germany,Full-Time,Female,Research Analyst,Market Research Analyst,FlexJobs,Qantas Airways,500 or above,Transportation/Airlines,5,11,Senior,M.Tech,61000,117000,89000
2024-05-08,2024,5,Canberra,Australia,Contract,Male,Data Entry Clerk,Record Keeper,Internships.com,VMware,500 or above,Software,0,15,Senior,BCA,59000,100000,79500
2023-09-09,2023,9,Madrid,Spain,Intern,Male,Network Engineer,Network Security Engineer,Glassdoor,Avantor,500 or above,Health Care,4,11,Senior,M.Com,62000,107000,84500
2025-07-05,2025,7,Singapore,Singapore,Contract,Female,Architectural Designer,Interior Designer,CareerBuilder,Nationwide,500 or above,Insurance,5,8,Senior,M.Com,56000,80000,68000
2022-11-12,2022,11,Hanoi,Vietnam,Intern,Male,Finance Manager,Accounting Manager,SimplyHired,CarMax,500 or above,Retail,5,10,Senior,BA,61000,82000,71500
2022-01-03,2022,1,London,UK,Temporary,Both,Wedding Planner,Wedding Designer,USAJOBS,JD.com,500 or above,E-commerce,3,8,Senior,M.Com,65000,130000,97500
2022-07-03,2022,7,Canberra,Australia,Full-Time,Female,Operations Manager,Supply Chain Manager,ZipRecruiter,Huawei Technologies,500 or above,Technology and Networking,5,13,Senior,BBA,61000,86000,73500
2023-05-02,2023,5,Canberra,Australia,Full-Time,Female,Executive Assistant,Project Coordinator,Snagajob,Alcoa,500 or above,Metals,0,14,Senior,BCA,55000,100000,77500
2022-04-06,2022,4,Beijing,China,Intern,Male,Social Media Manager,Social Media Analyst,CareerBuilder,Hindalco Industries,500 or above,Aluminum,1,11,Senior,M.Com,57000,97000,77000
2025-06-08,2025,6,Ottawa,Canada,Contract,Female,Network Engineer,Network Administrator,SimplyHired,Moderna,500 or above,Pharmaceuticals,3,12,Senior,BA,60000,109000,84500
2022-10-03,2022,10,Canberra,Australia,Contract,Both,Marketing Analyst,Data Analyst,Dice,Norwegian Cruise Line Holdings Ltd.,500 or above,Travel/Cruise Lines,1,13,Senior,BA,65000,127000,96000
2023-01-03,2023,1,Brussels,Belgium,Part-Time,Male,Social Worker,Mental Health Counselor,USAJOBS,Polaris,500 or above,Manufacturing,3,13,Senior,BCA,64000,83000,73500
